"","x"
"1",-95.6020949036029
"2",-209.29350873196
"3",-93.0733276501758
"4",-262.28780120614
"5",-252.337012527516
"6",-50.8066796013537
"7",-111.551249727228
"8",-196.038340334283
"9",-236.323706279731
"10",-211.997416278279
"11",-278.873241287069
"12",-182.649176379269
"13",-179.303222242818
"14",-224.989665092026
"15",-65.3481384480131
"16",-86.3370408112582
"17",-259.187209525574
"18",-155.755682636661
"19",-212.064560226826
"20",-281.652894536417
"21",-70.6188113754916
"22",-60.5600629269552
"23",-59.2754606462262
"24",-111.454331923175
