"","x"
"1",-106.921265556221
"2",-246.890181404251
"3",-107.934977694631
"4",-308.572428078348
"5",-298.736657088591
"6",-59.3021638977214
"7",-131.624828697591
"8",-231.586581428192
"9",-272.457553216348
"10",-244.566467063908
"11",-325.715190326547
"12",-212.354688897128
"13",-203.79623715472
"14",-263.591411558096
"15",-79.8914748569313
"16",-98.0858272128139
"17",-291.531979163914
"18",-176.554888200125
"19",-246.364898727593
"20",-315.23130924979
"21",-79.5817278780032
"22",-68.2702089903546
"23",-67.8479978524167
"24",-127.946251463615
