"","x"
"1",-4.2368119922174
"2",-5.78302420195766
"3",-3.82008283615269
"4",-6.97341132393068
"5",-6.23588441503808
"6",-1.92854456363873
"7",-4.79187833276661
"8",-5.43303509031831
"9",-7.37463949449857
"10",-5.54640631588319
"11",-7.82040941362586
"12",-6.97182455171203
"13",-8.02595676543896
"14",-5.74105425759612
"15",-2.94427558175599
"16",-3.05636447864333
"17",-4.37648365684807
"18",-5.36745149327004
"19",-5.35569309413096
"20",-7.71437074074901
"21",-2.38457246515777
"22",-2.99211735792525
"23",-1.48298517360508
"24",-3.84637612869356
