"","x"
"1",-42.2592193673781
"2",-69.7150222247213
"3",-27.9856654859831
"4",-82.3697444922792
"5",-79.7998725236288
"6",-26.2175954332459
"7",-45.6639188245755
"8",-65.1299385167652
"9",-81.095903246812
"10",-75.0963007747048
"11",-87.3965953781412
"12",-65.9276284323072
"13",-68.0510666165803
"14",-68.8013620053046
"15",-26.3955990999465
"16",-36.7338529410299
"17",-61.7540817899763
"18",-62.8076240086782
"19",-71.1846021531642
"20",-81.467537044448
"21",-31.4377126448781
"22",-28.2424565807027
"23",-26.7549500235145
"24",-43.7241140032779
