"","x"
"1",-9.68861154520313
"2",-17.2262530488653
"3",-8.08957085207733
"4",-20.8343160173411
"5",-19.482807624618
"6",-7.09696677915674
"7",-12.6320936659313
"8",-15.5070808398775
"9",-20.630173373811
"10",-18.8879845208955
"11",-21.8029721608828
"12",-16.122687244221
"13",-16.6235505177695
"14",-16.6095882919693
"15",-5.66744172515253
"16",-9.65964665983541
"17",-16.0230299579598
"18",-16.3065382340066
"19",-18.1959057857191
"20",-20.5507976007138
"21",-8.38363599083409
"22",-6.84627933321006
"23",-7.11828007142896
"24",-10.8413175490947
