"","x"
"1",58.1538926955386
"2",128.825203921792
"3",58.9965489911822
"4",161.74842972487
"5",156.327744658714
"6",32.0998958854254
"7",73.0186371839419
"8",122.819374799359
"9",145.472165517935
"10",131.257375875357
"11",172.374329207336
"12",113.284556530716
"13",110.849939915239
"14",133.082518970258
"15",39.9350308670566
"16",53.0672090278314
"17",157.889115638589
"18",96.1584138697436
"19",131.585647791043
"20",170.403068899958
"21",44.9541996134806
"22",39.1411812989599
"23",37.4098630624281
"24",68.966045712056
