"","x"
"1",-3.41179151063319
"2",-5.60666968715285
"3",-3.62353177598142
"4",-8.11944930457017
"5",-7.39887576088896
"6",-4.78146585930392
"7",-3.05290131626464
"8",-5.53728964272338
"9",-7.61819854083833
"10",-6.71096145135645
"11",-8.80458654042491
"12",-5.76444375234814
"13",-5.43200779434246
"14",-5.74931205829471
"15",-1.47611399062923
"16",-2.79502941652565
"17",-7.64645512085992
"18",-4.90883936801172
"19",-6.98064577635012
"20",-5.75542733685744
"21",-3.05768501783825
"22",-2.71194487468864
"23",-1.41091659307582
"24",-3.55476491858242
