"","x"
"1",-44.3408563968113
"2",-43.3207602673836
"3",-16.1972194837692
"4",-38.9760368727523
"5",-37.3993042066313
"6",-6.31185435469113
"7",-17.5292756582811
"8",-28.7060197921614
"9",-36.9541775775919
"10",-33.7056076827715
"11",-42.0577807718016
"12",-32.8301370788531
"13",-33.2057653718251
"14",-42.6600358064009
"15",-10.2033306376333
"16",-24.911023195822
"17",-22.086710295674
"18",-24.9887905143227
"19",-31.9477227804214
"20",-40.6328697322342
"21",-14.3043296035225
"22",-23.0947815626077
"23",-23.3226203320585
"24",-16.8278744323818
