"","x"
"1",-111.056636089281
"2",-248.604897675547
"3",-109.900950491101
"4",-312.386399901287
"5",-301.37359061727
"6",-64.38613194683
"7",-137.821500900697
"8",-235.468972182456
"9",-278.124957291333
"10",-249.012345565233
"11",-331.059124653416
"12",-217.70578934963
"13",-211.670321143974
"14",-259.72073960732
"15",-76.7747814913262
"16",-98.6005273094907
"17",-277.48962730612
"18",-186.201332954676
"19",-252.038399150654
"20",-310.056997647333
"21",-85.3215701868906
"22",-70.5546973248882
"23",-68.5520232966287
"24",-135.505064436198
