"","x"
"1",24.2319210803065
"2",59.6556075658945
"3",25.1706548721128
"4",71.4631246161749
"5",69.1951306818812
"6",13.6712052265499
"7",27.8290176020352
"8",52.9155124699475
"9",63.4910465873159
"10",56.2433206426852
"11",76.7138775185791
"12",46.7453493540673
"13",45.693474442404
"14",63.5530088210705
"15",16.7756263322967
"16",21.6902827783996
"17",81.9162914493686
"18",40.2067122002387
"19",56.690096336432
"20",84.9645058482716
"21",15.6773410791152
"22",16.2900461033473
"23",14.1655158011636
"24",28.4401094666497
