"","x"
"1",-133.013359050662
"2",-297.574937555535
"3",-131.079653513477
"4",-374.894822110139
"5",-358.364268384558
"6",-72.7289915555817
"7",-161.409807908887
"8",-280.794392189556
"9",-334.832405292517
"10",-299.538470690462
"11",-398.947469452798
"12",-257.717991727625
"13",-254.939545390296
"14",-316.481125163307
"15",-93.4468658238918
"16",-118.883982497571
"17",-310.488481990551
"18",-220.704306033722
"19",-300.23752810303
"20",-344.031338723492
"21",-102.503240977738
"22",-80.2204578840144
"23",-84.2901659946912
"24",-157.821420395376
