"","x"
"1",-3.27663263818457
"2",-3.48669265743729
"3",0
"4",-3.06857658575736
"5",-2.94336598304638
"6",-0.697423821841527
"7",-1.87637743564435
"8",-2.50345235513477
"9",-3.99995846471259
"10",-3.0196210571213
"11",-4.29005497129575
"12",-2.14109918846429
"13",-2.71549439364929
"14",-2.70617987326753
"15",-1.08277823040542
"16",-1.13468252218167
"17",-3.08334720996643
"18",-2.80910904296485
"19",-2.46625382882096
"20",-4.53467621348827
"21",-1.14981708624367
"22",-7.92403679399073
"23",-1.81054745964719
"24",-0.988260538318605
